Stop_Name,Location_Easting,Location_Northing
WESTMINSTER STATION <> / PARLIAMENT SQUARE,530171,179738
TREVOR CLOSE,515781,174783
HIGHBURY CORNER,531614,184603
HIGHBURY & ISLINGTON STATION <> #,531551,184803
ST MARY MAGDALENE CHURCH,531365,184986
ST MARY MAGDALENE CHURCH,531328,185009
HOLLOWAY ROAD STATION <>,530939,185465
LYNWOOD ROAD,517950,182729
LYNWOOD ROAD,517907,182704
WOOLWICH ROAD / BEDONWELL ROAD,548180,177996
WOOLWICH ROAD / BEDONWELL ROAD,548036,177997
QUEENS ROAD,521827,168125
ST JOSEPH'S CHURCH,521080,168163
ST JOSEPH'S CHURCH,521017,168169
ELM ROAD / NEW MALDEN BAPTIST CHURCH,520697,168304
ARCHDALE PLACE,519927,168691
CALIFORNIA ROAD,520074,168585
WATERS ROAD,519527,168967
CAMBRIDGE GROVE,519254,169156
VICARAGE HOUSE,518954,169281
RAYNES PARK STATION #,523241,169249
KINGS ROAD,518686,175064
ST MARY'S GROVE,518796,175063
CLAPTON POND,534857,185908
CEDAR WAY,500333,178601
CLAPTON POND,534887,186004
DITTON PARK ROAD,500753,178316
CHAPTER ROAD,522062,184972
CHAPTER ROAD,522083,184966
ST JOHN STREET / GOSWELL ROAD,531453,183089
TALLY HO CORNER,526317,192117
KILBURN PARK STATION <>,525408,183391
KILBURN PARK STATION <>,525381,183300
FAIRLAWN AVENUE,527295,189380
MULGRAVE ROAD,524679,177667
FULHAM POOLS,524535,177622
THIRLMERE GARDENS,507962,191958
QUEEN'S GROVE,526571,183570
GLYN ROAD,536020,185145
GLYN ROAD,535998,185150
QUEEN'S GROVE,526591,183569
MORDEN SOUTH STATION #,525286,167949
MORDEN SOUTH STATION #,525298,167852
CHALGROVE AVENUE,525191,167781
BUSHEY ROAD / GRAND DRIVE,523151,169059
BUSHEY ROAD,523244,168951
BUSHEY ROAD,523258,168879
LEA BRIDGE ROAD,536921,187624
THAMES AVENUE,550121,183083
LEA BRIDGE ROAD,536889,187654
ST SAVIOUR'S CHURCH,536738,187903
BARNES STATION #,522211,175652
QUEEN'S ROAD,536609,188269
MARKHOUSE AVENUE,536556,188541
MARKHOUSE AVENUE,536578,188491
HAZELWOOD ROAD,536257,188881
WALTHAMSTOW MARKET,536302,188834
BARNES STATION #,522267,175737
LONGFIELD AVENUE,536071,189098
BLACKHORSE ROAD STATION <> #,535854,189345
BLACKHORSE ROAD STATION <> #,535861,189367
BLENHEIM ROAD,535857,189755
FOREST ROAD,535864,189465
FOREST ROAD,535867,189518
BLENHEIM ROAD,535904,189660
WALTHAM FOREST COLLEGE / UPLANDS HOUSE,535857,190128
PRIESTLEY WAY,535886,189904
WALTHAM FOREST COLLEGE / UPLANDS HOUSE,535873,190136
CLARENCE ROAD,535784,190307
LAWRENCE AVENUE,535912,190708
WORCESTER ROAD,535770,190461
LAWRENCE AVENUE,535957,190696
HIGHAM HILL ROAD,536098,190735
HIGHAM HILL ROAD,536108,190722
GUILDSWAY,536614,190824
NORTH COUNTESS ROAD,536822,190825
GUILDSWAY,536583,190813
WALTHAMSTOW ACADEMY,537012,190868
NORTH COUNTESS ROAD,536782,190809
WALTHAMSTOW ACADEMY,537028,190857
CECIL ROAD,537174,190909
KAYWOOD CLOSE,499482,179165
BANK STATION <> / POULTRY,532532,181150
ERITH FIRE STATION,549767,178438
ERITH FIRE STATION,549808,178442
BEULAH SPA,532748,170084
BEULAH SPA,532719,170115
AVENUE ROAD,527416,183348
AVENUE ROAD,527511,183406
STAMFORD BROOK BUS GARAGE,521636,178587
STAMFORD BROOK BUS GARAGE,521620,178568
CHISWICK POLICE STATION,520910,178487
FENCHURCH STREET STATION #,533329,180989
CLIFTON GARDENS,520773,178494
ST ANN'S ROAD,531763,188697
ST ANN'S ROAD,531756,188835
TOTTENHAM TOWN HALL,533739,189444
WOOLWICH ROAD / GALLIONS ROAD,540897,178446
SADLER'S WELLS THEATRE,531476,182834
ST MARY OF ETON CHURCH,536695,184772
ST MARY OF ETON CHURCH,536683,184824
SADLER'S WELLS THEATRE,531467,182843
HESA ROAD,510501,180922
THE GRAPES,510673,181129
FORTUNE GREEN,525100,185526
WEST HAMPSTEAD POLICE STATION,525220,185397
LEA BRIDGE ROAD / BAKERS ARMS,537878,188264
LEA BRIDGE ROAD / BAKERS ARMS,537837,188189
THE OLD VIC,531368,179740
THE OLD VIC,531345,179734
GUNNERSBURY STATION <> #,519799,178464
ALPHA CLOSE,527451,182506
LONDON BUSINESS SCHOOL,527604,182407
DEAN STREET / CHINATOWN,529797,180925
HOLBORN STATION <>,530646,181539
MONTPELIER ROAD,517584,181651
HOLLAND ROAD / NAPIER PLACE,524584,179096
VESTRY ROAD,533283,176714
NORLAND SQUARE,524330,180094
HOLLAND PARK STATION <>,524595,180195
EDITH GROVE,526132,177655
FULHAM ROAD / CHELSEA & WESTMINSTER HOSP,526146,177729
EDITH GROVE,526212,177722
FULHAM ROAD / BEAUFORT STREET,526562,178085
OLD CHURCH STREET,526724,178261
SPUR ROAD / ORPINGTON WAR MEMORIAL,546166,165873
PRATTS BOTTOM / SEVENOAKS ROAD,547131,162667
HYDE PARK CORNER STATION <>,528274,179818
OLD CHURCH STREET,526702,178215
SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL,546076,165793
ONSLOW SQUARE,526985,178620
VILLAGE GREEN ROAD,552042,175069
THE RISE,551968,175037
STANHAM PLACE,552394,175129
THE JOLLY FARMERS OPEN SPACE,552522,175146
ONSLOW SQUARE,526989,178635
MILL PLACE,552615,175256
PERRY STREET,551584,176098
PERRY STREET,551617,176107
EVERSLEY CROSS,551316,176093
EVERSLEY CROSS,551278,176101
NORTHALL ROAD / MANOR WAY,550463,176129
PARKSIDE AVENUE / MANOR WAY,550723,176098
BRIDGE ROAD / NORTHEND ROAD,551712,176489
PENTON STREET,531073,183104
PENTON STREET / CHAPEL MARKET,531164,183107
GUILFORD STREET,530828,182245
GUILFORD STREET,530787,182322
KENTISH TOWN STATION <> #,528990,185246
KENTISH TOWN STATION <> #,529012,185118
COOMBE ROAD,532621,164939
COOMBE ROAD,532608,164915
BIRDHURST GARDENS,533054,164687
BIRDHURST ROAD / SOUTH CROYDON STATION #,533039,164261
BIRDHURST ROAD / SOUTH CROYDON STATION #,532948,164290
NEWINGTON GREEN,532820,185381
CARLTON ROAD,532947,163532
TWIN BRIDGES BUSINESS PARK,532935,163608
CARLTON ROAD,533012,163573
CROHAM ROAD,532663,164229
ALBION ROAD,532793,185469
ELECTRIC HOUSE,532519,165679
WHITGIFT CENTRE,532444,165831
WHITGIFT CENTRE,532432,165928
PURLEY WAY / WADDON STATION #,530973,164850
PURLEY WAY / WADDON STATION #,530956,164861
GREEN LANES,532855,185470
PURLEY OAKS STATION #,532396,162905
PURLEY OAKS STATION #,532321,162781
PURLEY / DOWNLANDS PRECINCT,531352,161707
CHRISTCHURCH ROAD / PURLEY HOSPITAL,531508,161865
COOMBE ROAD,532426,164846
COOMBE ROAD,532415,164953
LIVERPOOL ROAD,531119,185283
PASTEUR GARDENS,532570,192128
PASTEUR GARDENS,532599,192130
EMPIRE PARADE,532644,191812
EMPIRE PARADE,532674,191766
CHURCH HILL ROAD,523483,164970
LIVERPOOL ROAD,531145,185230
CHURCH HILL ROAD,523534,164918
PARK AVENUE,530550,190781
ALLIANCE ROAD,519612,182238
SOUTHWOOD AVENUE,528783,187935
HARINGEY CIVIC CENTRE,530894,190703
HARINGEY CIVIC CENTRE,530910,190702
CANNING CRESCENT,530852,190905
CLAPHAM SOUTH STATION <>,528750,174295
BERKSHIRE GARDENS,530955,191645
BERKSHIRE GARDENS,530958,191728
TOTTENHALL ROAD,531004,191963
BROOMFIELD LANE,530970,192377
BROOMFIELD LANE,530985,192396
CLAPHAM SOUTH STATION <>,528741,174281
PALMERS GREEN / THE TRIANGLE,530996,192606
LODGE DRIVE,531110,192821
FOX LANE,531172,192966
FOX LANE,531220,193067
ST MONICA'S CHURCH,531418,193381
BOURNE HILL,531317,193285
PARK HILL,529734,175050
MEADOWCROFT ROAD,531553,193486
MEADOWCROFT ROAD,531591,193506
HYDE PARK CORNER STATION <>,528237,179804
STATION ROAD,531839,194173
BOSTON MANOR STATION <>,516433,178756
GREEN DRAGON LANE,532191,194766
GREEN DRAGON LANE,532153,194688
SOLNA ROAD,532507,194733
SOLNA ROAD,532550,194744
CONIFER GARDENS,532964,195151
CONIFER GARDENS,532967,195058
BUSH HILL,532867,195683
BUSH HILL,532894,195664
PARK CRESCENT,532929,195952
PARK CRESCENT,532914,195903
CECIL ROAD / ST ANNES SCHOOL,532919,196301
CECIL ROAD / ST ANNES SCHOOL,532940,196217
ENFIELD TOWN / GENOTIN ROAD,532962,196510
ENFIELD TOWN / CHURCH STREET,532680,196565
TOTTENHAM POLICE STATION,533778,189713
TOTTENHAM TOWN HALL,533758,189438
WOOD GREEN CROWN COURT,531425,190570
WESTMINSTER ACADEMY / CIRENCESTER STREET,525527,181772
WOOD GREEN CROWN COURT,531379,190534
PERTH ROAD,531675,190686
PERTH ROAD,531570,190636
GLADSTONE AVENUE,531934,190573
MORLEY AVENUE,531811,190625
GLADSTONE AVENUE,532006,190523
WESTBURY AVENUE / LORDSHIP LANE,532130,190543
WESTMINSTER ACADEMY / CIRENCESTER STREET,525538,181783
THE ROUNDWAY / WEST ARM,532303,190512
THE ROUNDWAY / WEST ARM,532280,190532
WALTHEOF AVENUE,532613,190519
WALTHEOF AVENUE,532521,190507
AWLFIELD AVENUE,532949,190539
AWLFIELD AVENUE,532866,190518
MOUNT PLEASANT ROAD,533207,190579
MOUNT PLEASANT ROAD,533064,190545
THE ROUNDWAY / EAST ARM,533370,190596
BRUCE CASTLE PARK,533460,190563
ELMHURST ROAD,533634,190344
ELMHURST ROAD,533568,190408
BRUCE GROVE STATION #,533768,190175
BRUCE GROVE STATION #,533730,190204
PARNELL ROAD,536803,183711
PARNELL ROAD,536776,183718
CATFORD ROAD / LEWISHAM TOWN HALL,537627,173609
BOUNDS GREEN STATION <>,530034,191581
BOUNDS GREEN STATION <>,530032,191524
TAVISTOCK SQUARE,529962,182326
PARSONS GREEN LANE / FULHAM LIBRARY,524988,176951
PARSONS GREEN LANE / FULHAM LIBRARY,524944,176870
MUNSTER ROAD,524590,176518
MUNSTER ROAD,524585,176491
HERNE HILL ROAD,532535,175181
HERNE HILL ROAD,532481,175073
THE GREEN,505301,190561
MERLE AVENUE,505161,190399
SHRUBS ROAD,506702,191541
SHRUBS ROAD,506674,191513
MIDDLETON ROAD,533501,184236
MYDDELTON ROAD,530424,189323
ARDLEIGH GREEN SCHOOL,553943,189692
ARDLEIGH GREEN SCHOOL,553945,189641
MARKET PLACE / BEXLEYHEATH CLOCK TOWER,549273,175249
SHREWSBURY ROAD,541897,184210
THORNHILL ROAD,518257,165793
THORNHILL ROAD,518253,165838
SHACKLEWELL LANE,533565,185368
LAKESIDE WAY,518957,185728
WEMBLEY ARENA,519012,185896
EDGWARE ROAD / THE HYDE,521382,188696
EDGWARE ROAD / THE HYDE,521433,188702
RUVIGNY GARDENS,523794,175765
RUVIGNY GARDENS,523839,175748
FESTING ROAD,523499,175863
GREENWOOD ROAD,534346,184772
FESTING ROAD,523557,175832
COMMONDALE,523194,175874
COMMONDALE,523246,175867
PUTNEY BRIDGE ROAD,524078,175451
PUTNEY EXCHANGE,524021,175258
SHEFFIELD TERRACE,525404,180122
SHEFFIELD TERRACE,525400,180205
GLOUCESTER ROAD STATION <>,526286,178805
PALACE GATE,526133,179622
GREENWOOD ROAD,534305,184764
PALACE GATE,526146,179612
STANHOPE GARDENS,526465,178774
STANHOPE GARDENS,526501,178769
ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP,526888,178445
CHELSEA AND WESTMINSTER HOSPITAL,526294,177810
HORTENSIA ROAD,525994,177482
STOKE NEWINGTON STATION #,533660,186860
REDCLIFFE SQUARE,525899,178043
EARLS COURT ROAD / OLD BROMPTON ROAD,525708,178358
EARLS COURT STATION <>,525575,178555
SCARSDALE VILLAS,525261,179007
PEMBROKE ROAD,525260,179045
GLOUCESTER ROAD,526381,178473
MYDDELTON ROAD,530473,189320
GLOUCESTER ROAD,526425,178478
BOLTON GARDENS / BROMPTON LIBRARY,525972,178386
BROMPTON SQUARE,527301,179202
VICTORIA AND ALBERT MUSEUM,527069,179063
VICTORIA AND ALBERT MUSEUM,527143,179077
COLLINGHAM ROAD / SAINSBURY'S,525930,178872
CROMWELL HOSPITAL,525737,178850
WARWICK GARDENS,524825,179152
HOLLAND GARDENS,524416,179285
LOWER ADDISON GARDENS,524100,179643
PARK GROVE,518731,192232
ALEXANDRA PALACE GARDEN CENTRE,529364,189816
ALEXANDRA PALACE ICE RINK,529632,189966
ALEXANDRA PALACE PALM COURT,529422,189902
ALEXANDRA PALACE GARDEN CENTRE,529343,189819
ALEXANDRA PALACE PARK,529981,190242
ALEXANDRA PALACE ICE RINK,529774,190157
ALEXANDRA PALACE PALM COURT,529426,189931
ALEXANDRA PALACE PARK,530022,190239
RUTLAND GARDENS,527314,179697
KNIGHTSBRIDGE BARRACKS,527391,179679
PRINCE OF WALES GATE,527043,179702
PRINCE OF WALES GATE,527155,179684
QUEEN'S GATE,526332,179632
CHELSEA FOOTBALL CLUB,525786,177247
CHELSEA FOOTBALL CLUB,525791,177232
RADIPOLE ROAD,524787,176796
RADIPOLE ROAD,524733,176738
FULHAM PALACE ROAD,524377,176296
FULHAM PALACE ROAD,524411,176313
MULGRAVE ROAD,524790,177728
NORTH END ROAD,524960,177832
FULHAM POOLS,524464,177578
FULHAM CROSS,524166,177488
FULHAM CROSS,524025,177505
SHORROLDS ROAD,524870,177233
SHORROLDS ROAD,524808,177244
SHERBROOKE ROAD,524647,177284
SHERBROOKE ROAD,524527,177300
HANNELL ROAD,524269,177365
MUNSTER ROAD,524237,177361
MUNSTER ROAD / FULHAM CROSS,524152,177421
LILLIE ROAD,524923,177745
LILLIE ROAD,524883,177886
WEST KENSINGTON ESTATE,524794,178088
WEST KENSINGTON ESTATE,524807,178095
WEST KENSINGTON STATION <>,524615,178299
WEST KENSINGTON STATION <>,524603,178372
LYTTON ESTATE,524523,178602
LYTTON ESTATE,524437,178676
KENSINGTON OLYMPIA,524327,178794
RUMBOLD ROAD,525861,177054
RUMBOLD ROAD,525887,177065
WANDSWORTH BRIDGE ROAD,525498,176715
WANDSWORTH BRIDGE ROAD,525562,176760
IRENE ROAD,525365,176553
IRENE ROAD,525317,176493
PARSONS GREEN,525166,176415
MUNSTER ROAD,524795,176304
MUNSTER ROAD,524795,176290
NEW KING'S ROAD,525610,176740
NEW KING'S ROAD,525626,176724
OAKBURY ROAD,525747,176112
ROYAL HOSPITAL CHELSEA / LOWER SLOANE ST,528051,178274
NATIONAL ARMY MUSEUM,527815,178025
NATIONAL ARMY MUSEUM,527804,177997
ALBERT BRIDGE / CADOGAN PIER <R>,527259,177613
ALBERT BRIDGE / CADOGAN PIER,527438,177642
SPA ROAD,533542,179133
BEAUFORT STREET,527017,177515
DUKE OF YORK SQUARE,527750,178484
MARKHAM STREET,527515,178270
CHELSEA OLD TOWN HALL,527328,178142
CARLYLE SQUARE,527079,177996
CARLYLE SQUARE,527067,177972
HOBURY STREET / WORLDS END,526534,177517
EDITH GROVE / WORLDS END,526529,177495
CHEYNE WALK,526893,177538
WEST HAMPSTEAD STATION<> / BROADHURST GDNS,525508,184547
SPA ROAD,533647,179074
CHEYNE WALK,526896,177557
ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP,526866,178405
CHELSEA AND WESTMINSTER HOSPITAL,526342,177836
HORTENSIA ROAD,526024,177506
EDITH GROVE / KING'S ROAD,526325,177500
CALE STREET / ROYAL BROMPTON HOSPITAL,527125,178330
CALE STREET / ROYAL BROMPTON HOSPITAL,527127,178362
ALPHA CLOSE,527422,182556
CHELSEA PHYSIC GARDEN,527617,177783
CHELSEA PHYSIC GARDEN,527625,177772
WEDMORE STREET,529978,186491
LORD AVENUE,542536,189264
WOODFORD BRIDGE ROAD,542447,189359
HAYES / GEORGE LANE,540560,166409
HAYES / GEORGE LANE,540527,166365
ABINGER ROAD,521599,179011
ABINGER ROAD,521573,178990
TURNHAM GREEN STATION <>,521286,178892
TURNHAM GREEN STATION <>,521266,178873
FLANCHFORD ROAD,521958,179207
FLANCHFORD ROAD,521983,179203
THE ORCHARD,521014,178860
RAMILLIES ROAD,520829,178814
ACTON GREEN,520574,178891
STATION ROAD / CHINGFORD STATION #,539114,194602
LANGLEY AVENUE,518337,166598
LANGLEY AVENUE,518356,166558
RUISLIP LIDO,508610,189132
ST ANTHONY'S HOSPITAL,523929,165823
TUDOR DRIVE,524607,166772
CHENIES PLACE,529832,183337
CHENIES PLACE,529802,183384
ST PANCRAS OLD CHURCH,529752,183401
ST PANCRAS HOSPITAL,529643,183485
ROYAL COLLEGE STREET,529526,183494
PRATT STREET,529375,183852
CAMDEN ROAD STATION #,529224,184128
ROYAL COLLEGE STREET / IVOR STREET,529142,184268
KENTISH TOWN ROAD,529003,184484
KENTISH TOWN POST OFFICE,528983,184962
KENTISH TOWN POST OFFICE,528987,184895
KENTISH TOWN FIRE STATION,528882,185418
FORTESS ROAD,528954,185323
LADY SOMERSET ROAD,528776,185513
KENTISH TOWN FIRE STATION,528827,185482
LADY SOMERSET ROAD,528693,185677
BROADHURST GARDENS,525503,184489
GORDON HOUSE ROAD,528619,185765
GORDON HOUSE ROAD,528546,185899
WILLIAM ELLIS SCHOOL,528421,186057
WILLIAM ELLIS SCHOOL,528387,186131
PARLIAMENT HILL FIELDS,528290,186314
PARLIAMENT HILL FIELDS,528313,186302
FORTESS WALK,528987,185475
FORTESS WALK,528987,185374
LADY SOMERSET ROAD,529054,185650
LADY SOMERSET ROAD,529055,185623
MONNERY ROAD,529199,186172
MONNERY ROAD,529212,186185
PEMBERTON GARDENS,529280,186441
WOOD LANE / HIGHGATE STATION <>,528454,188269
PEMBERTON GARDENS,529265,186436
FERDINAND STREET,528432,184442
FERDINAND STREET,528449,184408
WOOD LANE / HIGHGATE STATION <>,528467,188262
PRINCE OF WALES ROAD,528378,184581
PRINCE OF WALES ROAD,528310,184678
QUEEN'S CRESCENT,528185,184910
GRAFTON TERRACE,528092,185109
ST DOMINIC'S PRIORY,527865,185254
MANSFIELD ROAD,527821,185325
MUSWELL HILL PRIMARY SCHOOL,528940,189610
MANSFIELD ROAD,527754,185459
LAWN ROAD,527623,185412
ROYAL FREE HOSPITAL,527330,185500
SOUTH END GREEN,527339,185528
KENTISH TOWN ROAD,528898,184716
KENTISH TOWN WEST STATION #,528544,184665
MUSWELL HILL,528754,189721
BROOMFIELD ROAD,518870,166435
BROOMFIELD ROAD,518875,166448
QUEENS AVENUE,528730,189745
SURBITON HEALTH CENTRE,518514,167123
SURBITON HEALTH CENTRE,518504,167101
SURBITON TELEPHONE EXCHANGE,518453,167470
HALL DRIVE,515383,181362
HALL DRIVE,515375,181333
ST PAUL'S ROAD / HIGHBURY CORNER,531784,184753
MUSWELL HILL,528743,189630
HIGHBURY CORNER,531740,184732
CRESSWELL GARDENS,526204,178443
CRESSWELL GARDENS,526150,178438
NEVERN PLACE,525442,178697
QUEENS AVENUE,528746,189617
GROSVENOR PARK ROAD,537427,188606
ST SAVIOUR'S CHURCH,536714,187927
LLOYD PARK / WILLIAM MORRIS GALLERY,537098,189812
FRIARY ROAD,520751,181277
CARLISLE AVENUE,521053,181031
FOSTER ROAD,521262,180913
PERRYN ROAD,520992,181037
FRIARY ROAD,520720,181291
EXHIBITION ROAD,526887,179673
PONT STREET,527898,179127
WALES FARM ROAD,520617,181606
HILARY ROAD,521725,180674
ST SAVIOUR'S CHURCH,521823,180389
UXBRIDGE ROAD,521873,180140
GLENDUN ROAD,521282,180724
KING FAHAD ACADEMY,521458,180753
PONT STREET,527887,179246
SHAA ROAD,521033,180551
SHAA ROAD,521060,180571
ACTON PARK / GREENVIEW CLOSE,521054,180131
ACTON PARK / GREENVIEW CLOSE,521071,180115
CHURCH STREET,526824,181968
HALL ROAD,526212,182672
CARLTON VALE,525852,183135
ST PAUL'S CHURCHYARD,532151,181046
CHEPSTOW CRESCENT,525179,180888
CHEPSTOW CRESCENT,525183,180863
WESTBOURNE GROVE / COLVILLE ROAD,524911,181023
COLVILLE ROAD,524925,180998
STANLEY GARDENS,524852,180771
CHEPSTOW VILLAS,524918,180738
ELGIN CRESCENT,524639,181030
ARUNDEL GARDENS,524680,180965
BLENHEIM CRESCENT,524427,181059
POWIS GARDENS,524790,181374
POWIS GARDENS,524831,181379
PORTOBELLO ROAD,524534,181268
PORTOBELLO ROAD,524644,181300
CHESTERTON ROAD,524183,181613
CHESTERTON ROAD,524201,181605
ST CHARLES SQUARE,524117,181784
ST CHARLES SQUARE,524129,181789
BARLBY ROAD,524028,182014
BARLBY ROAD,524041,182026
KENSAL HOUSE,523937,182246
KENSAL HOUSE,523954,182241
CAMBRIDGE GARDENS / LADBROKE GROVE,524157,181398
OXFORD GARDENS,523950,181366
OXFORD GARDENS,523926,181375
ST CHARLES SQUARE,523766,181573
CITY THAMESLINK STATION #,531730,181434
KILBURN PARK ROAD,525749,183272
NORTH POLE ROAD / SCRUBS LANE,523073,181523
LATYMER UPPER SCHOOL / PLAYING FIELDS,523040,181260
LATYMER UPPER SCHOOL / PLAYING FIELDS,522989,181236
HAMMERSMITH HOSPITAL,522586,181181
HAMMERSMITH HOSPITAL,522594,181170
CITY THAMESLINK STATION #,531672,181479
WULFSTAN STREET,522085,181104
WULFSTAN STREET,521972,181082
EAST ACTON STATION<> / FITZNEAL STREET,521683,181055
EAST ACTON STATION <>,521626,181038
WHITE CITY ESTATE,522774,181025
PHOENIX HIGH SCHOOL,522359,180935
HEMLOCK ROAD,521759,180628
STEVENTON ROAD,521825,180428
UXBRIDGE ROAD,521879,180171
CAMBRIDGE ROAD,525346,182802
WEST END LANE,525782,185288
MOORGATE STATION <> #,532747,181699
ST CUTHBERT'S ROAD,524497,184860
FERNHEAD ROAD,524818,183044
QUEEN'S PARK STATION <> #,524632,183119
STATION TERRACE,523676,183095
WHITMORE GARDENS,523482,183455
OKEHAMPTON ROAD,523384,183575
OKEHAMPTON ROAD,523406,183566
ALL SOULS AVENUE,523132,183949
ALL SOULS AVENUE,523186,183876
HANOVER ROAD,523153,184147
HANOVER ROAD,523173,184148
WILLESDEN GREEN LIBRARY,522918,184591
WILLESDEN GREEN LIBRARY,522954,184572
KINGSLEY ROAD,524784,183980
KINGSLEY ROAD,524833,183977
